Negara	Benua	Tahun	AHH
Argentina	Amerika	2000	74.2
Argentina	Amerika	2001	74.3
Argentina	Amerika	2002	74.3
Argentina	Amerika	2003	74.4
Argentina	Amerika	2004	74.9
Argentina	Amerika	2005	75.3
Argentina	Amerika	2006	75.4
Argentina	Amerika	2007	75.3
Argentina	Amerika	2008	75.7
Argentina	Amerika	2009	75.8
Argentina	Amerika	2010	75.9
Argentina	Amerika	2011	76
Argentina	Amerika	2012	76.2
Argentina	Amerika	2013	76.3
Argentina	Amerika	2014	76.5
Argentina	Amerika	2015	76.5
Argentina	Amerika	2016	76.2
Argentina	Amerika	2017	76.3
Argentina	Amerika	2018	76.5
Argentina	Amerika	2019	76.6
Argentina	Amerika	2020	74.6
Argentina	Amerika	2021	76.9
Argentina	Amerika	2022	77
Argentina	Amerika	2023	77.2
Antigua and Barbuda	Amerika	2000	74.8
Antigua and Barbuda	Amerika	2001	75.1
Antigua and Barbuda	Amerika	2002	75.4
Antigua and Barbuda	Amerika	2003	75.6
Antigua and Barbuda	Amerika	2004	75.7
Antigua and Barbuda	Amerika	2005	75.9
Antigua and Barbuda	Amerika	2006	75.9
Antigua and Barbuda	Amerika	2007	75.1
Antigua and Barbuda	Amerika	2008	75.2
Antigua and Barbuda	Amerika	2009	75.8
Antigua and Barbuda	Amerika	2010	75.9
Antigua and Barbuda	Amerika	2011	76
Antigua and Barbuda	Amerika	2012	76
Antigua and Barbuda	Amerika	2013	76.1
Antigua and Barbuda	Amerika	2014	76
Antigua and Barbuda	Amerika	2015	76
Antigua and Barbuda	Amerika	2016	76
Antigua and Barbuda	Amerika	2017	76.1
Antigua and Barbuda	Amerika	2018	76.2
Antigua and Barbuda	Amerika	2019	76.3
Antigua and Barbuda	Amerika	2020	76.3
Antigua and Barbuda	Amerika	2021	76.5
Antigua and Barbuda	Amerika	2022	76.7
Antigua and Barbuda	Amerika	2023	76.8
Bahamas	Amerika	2000	71.3
Bahamas	Amerika	2001	71.3
Bahamas	Amerika	2002	71.9
Bahamas	Amerika	2003	72.4
Bahamas	Amerika	2004	72.4
Bahamas	Amerika	2005	73.2
Bahamas	Amerika	2006	73
Bahamas	Amerika	2007	73.6
Bahamas	Amerika	2008	73.5
Bahamas	Amerika	2009	73.2
Bahamas	Amerika	2010	73.2
Bahamas	Amerika	2011	73.2
Bahamas	Amerika	2012	73.3
Bahamas	Amerika	2013	73.5
Bahamas	Amerika	2014	73.6
Bahamas	Amerika	2015	73.3
Bahamas	Amerika	2016	73.7
Bahamas	Amerika	2017	73.8
Bahamas	Amerika	2018	73.8
Bahamas	Amerika	2019	73.4
Bahamas	Amerika	2020	72.3
Bahamas	Amerika	2021	73.6
Bahamas	Amerika	2022	73.7
Bahamas	Amerika	2023	73.8
Belize	Amerika	2000	70
Belize	Amerika	2001	70.6
Belize	Amerika	2002	71.4
Belize	Amerika	2003	71.8
Belize	Amerika	2004	72
Belize	Amerika	2005	72.4
Belize	Amerika	2006	72.6
Belize	Amerika	2007	73.1
Belize	Amerika	2008	73.6
Belize	Amerika	2009	73.7
Belize	Amerika	2010	73.6
Belize	Amerika	2011	73.8
Belize	Amerika	2012	74.3
Belize	Amerika	2013	74.3
Belize	Amerika	2014	74.3
Belize	Amerika	2015	74.2
Belize	Amerika	2016	74.4
Belize	Amerika	2017	74.5
Belize	Amerika	2018	74.4
Belize	Amerika	2019	74.5
Belize	Amerika	2020	72.1
Belize	Amerika	2021	74.7
Belize	Amerika	2022	74.9
