Negara,Status,Tahun,AHH,CO2,Region
Austria,Maju,2010,80.8,67.8,Eropa
Austria,Maju,2011,81,64.7,Eropa
Austria,Maju,2012,81.2,62.2,Eropa
Austria,Maju,2013,81.3,62.9,Eropa
Austria,Maju,2014,81.5,58.6,Eropa
Austria,Maju,2015,81.6,60.7,Eropa
Austria,Maju,2016,81.8,61.6,Eropa
Austria,Maju,2017,82,64.4,Eropa
Austria,Maju,2018,82.1,62.1,Eropa
Austria,Maju,2019,82.2,63.6,Eropa
Austria,Maju,2020,81.5,56.0,Eropa
Austria,Maju,2021,82.4,58.4,Eropa
Belgia,Maju,2010,80.2,133.5,Eropa
Belgia,Maju,2011,80.4,120.6,Eropa
Belgia,Maju,2012,80.5,116.3,Eropa
Belgia,Maju,2013,80.7,117.3,Eropa
Belgia,Maju,2014,81,109.0,Eropa
Belgia,Maju,2015,81.1,115.2,Eropa
Belgia,Maju,2016,81.3,116.9,Eropa
Belgia,Maju,2017,81.4,118.8,Eropa
Belgia,Maju,2018,81.4,125.4,Eropa
Belgia,Maju,2019,81.4,121.7,Eropa
Belgia,Maju,2020,80.2,105.5,Eropa
Belgia,Maju,2021,81.7,114.7,Eropa
Rumania,Berkembang,2010,73.8,78.2,Eropa
Rumania,Berkembang,2011,74.6,85.1,Eropa
Rumania,Berkembang,2012,74.7,81.7,Eropa
Rumania,Berkembang,2013,75.3,69.8,Eropa
Rumania,Berkembang,2014,75,71.1,Eropa
Rumania,Berkembang,2015,75.3,71.9,Eropa
Rumania,Berkembang,2016,75.3,69.5,Eropa
Rumania,Berkembang,2017,75.4,72.9,Eropa
Rumania,Berkembang,2018,75.5,73.4,Eropa
Rumania,Berkembang,2019,75.5,71.7,Eropa
Rumania,Berkembang,2020,74.1,64.6,Eropa
Rumania,Berkembang,2021,75.8,70.3,Eropa
Makedonia,Berkembang,2010,73.4,8.5,Eropa
Makedonia,Berkembang,2011,73.7,9.3,Eropa
Makedonia,Berkembang,2012,73.7,8.9,Eropa
Makedonia,Berkembang,2013,74,7.9,Eropa
Makedonia,Berkembang,2014,74,7.5,Eropa
Makedonia,Berkembang,2015,74,7.2,Eropa
