Negara	Region	Tahun	AHH	CO2
Austria	Eropa	2010	80.8	67818579.9504
Austria	Eropa	2011	81	64671654.4736
Austria	Eropa	2012	81.2	62195805.9636
Austria	Eropa	2013	81.3	62854178.8995
Austria	Eropa	2014	81.5	58634381.0052
Austria	Eropa	2015	81.6	60690358.2754
Austria	Eropa	2016	81.8	61642668.1254
Austria	Eropa	2017	82	64433242.3692
Austria	Eropa	2018	82.1	62070782.9314
Austria	Eropa	2019	82.2	63643946.2895
Austria	Eropa	2020	81.5	55992711.5256
Austria	Eropa	2021	82.4	58365730.7687
Belgia	Eropa	2010	80.2	133494432.3475
Belgia	Eropa	2011	80.4	120611028.0002
Belgia	Eropa	2012	80.5	116275753.9558
Belgia	Eropa	2013	80.7	117338847.4641
Belgia	Eropa	2014	81	108997377.5617
Belgia	Eropa	2015	81.1	115228416.2990
Belgia	Eropa	2016	81.3	116870590.0601
Belgia	Eropa	2017	81.4	118786417.9519
Belgia	Eropa	2018	81.4	125435224.6447
Belgia	Eropa	2019	81.4	121712422.6384
Belgia	Eropa	2020	80.2	105537947.7800
Belgia	Eropa	2021	81.7	114749391.4573
Rumania	Eropa	2010	73.8	78153201.2968
Rumania	Eropa	2011	74.6	85067400.8580
Rumania	Eropa	2012	74.7	81696351.2409
Rumania	Eropa	2013	75.3	69806906.7401
Rumania	Eropa	2014	75	71098935.2808
Rumania	Eropa	2015	75.3	71880312.5950
Rumania	Eropa	2016	75.3	69512710.3945
Rumania	Eropa	2017	75.4	72924476.8229
Rumania	Eropa	2018	75.5	73380638.3444
Rumania	Eropa	2019	75.5	71660115.1816
Rumania	Eropa	2020	74.1	64573549.5091
Rumania	Eropa	2021	75.8	70321208.1294
Makedonia	Eropa	2010	73.4	8526714.3940
Makedonia	Eropa	2011	73.7	9345372.6228
Makedonia	Eropa	2012	73.7	8934737.3838
Makedonia	Eropa	2013	74	7944860.8530
Makedonia	Eropa	2014	74	7524600.0807
Makedonia	Eropa	2015	74	7233295.5479
Makedonia	Eropa	2016	73.8	7063258.9610
Makedonia	Eropa	2017	74.1	7544127.6874
Makedonia	Eropa	2018	74.3	7061275.6238
Makedonia	Eropa	2019	74.4	8087495.2577
Makedonia	Eropa	2020	72.8	6638689.5017
Makedonia	Eropa	2021	74.6	6864638.5176
Jerman	Eropa	2010	80.5	783163260.2412
Jerman	Eropa	2011	80.7	763689913.8591
Jerman	Eropa	2012	80.8	773001263.6950
Jerman	Eropa	2013	80.8	797571542.9827
Jerman	Eropa	2014	81	751080817.4346
Jerman	Eropa	2015	80.9	755630998.2696
Jerman	Eropa	2016	81	770457178.5805
Jerman	Eropa	2017	81.1	760948651.9717
Jerman	Eropa	2018	81.2	733112185.0395
Jerman	Eropa	2019	81.2	680076041.3431
Jerman	Eropa	2020	81	600785000.6149
Jerman	Eropa	2021	81.5	628894987.9934
Ukraina	Eropa	2010	70.8	288700623.8827
Ukraina	Eropa	2011	71.5	303227320.3100
Ukraina	Eropa	2012	71.6	299051532.9317
Ukraina	Eropa	2013	71.8	286478583.9150
Ukraina	Eropa	2014	71.7	246841772.7861
Ukraina	Eropa	2015	72.5	195131716.2779
Ukraina	Eropa	2016	72.9	215623749.8888
Ukraina	Eropa	2017	73.8	187850633.0545
Ukraina	Eropa	2018	73.9	198674461.6116
Ukraina	Eropa	2019	73.8	185515885.8791
Ukraina	Eropa	2020	73.2	172912795.2498
Ukraina	Eropa	2021	74.1	167856368.8814
Argentina	Amerika	2010	75.9	167083489.3983
Argentina	Amerika	2011	76	173078927.0182
Argentina	Amerika	2012	76.2	181887206.6300
Argentina	Amerika	2013	76.3	187811601.2315
Argentina	Amerika	2014	76.5	187775272.7510
Argentina	Amerika	2015	76.5	191219071.2798
Argentina	Amerika	2016	76.2	190138217.1750
Argentina	Amerika	2017	76.3	188469370.7554
Argentina	Amerika	2018	76.5	185875588.9021
Argentina	Amerika	2019	76.6	175452261.4952
Argentina	Amerika	2020	74.6	164847989.7528
Argentina	Amerika	2021	76.9	181672494.3309
Brazil	Amerika	2010	73.8	399406840.4626
Brazil	Amerika	2011	74	424209022.7653
Brazil	Amerika	2012	74.3	444516006.6521
Brazil	Amerika	2013	74.5	483010854.8474
Brazil	Amerika	2014	74.8	505208582.2791
Brazil	Amerika	2015	75	476619273.9259
Brazil	Amerika	2016	75	440771042.4955
Brazil	Amerika	2017	75.4	446374234.5478
Brazil	Amerika	2018	75.7	427563699.3934
Brazil	Amerika	2019	75.8	425125238.0347
Brazil	Amerika	2020	73.6	390503152.0483
Brazil	Amerika	2021	76.3	436608973.6559
Chile	Amerika	2010	78.6	76073855.3110
Chile	Amerika	2011	79	87004447.4974
Chile	Amerika	2012	79.2	89377934.6688
Chile	Amerika	2013	79.3	91121367.5884
Chile	Amerika	2014	79.5	88415051.4592
Chile	Amerika	2015	79.6	88919193.2562
Chile	Amerika	2016	80	94062948.8444
Chile	Amerika	2017	80	92393582.2721
Chile	Amerika	2018	80.1	92988448.9132
Chile	Amerika	2019	80.2	94558408.7315
Chile	Amerika	2020	79.1	84410698.0483
Chile	Amerika	2021	80.5	86960548.9418
Meksiko	Amerika	2010	75.3	442613520.1359
Meksiko	Amerika	2011	75.5	465844964.8486
Meksiko	Amerika	2012	75.7	473972999.9093
Meksiko	Amerika	2013	75.5	472837368.3042
Meksiko	Amerika	2014	75.6	459636593.3989
Meksiko	Amerika	2015	75.7	463121948.3742
Meksiko	Amerika	2016	75.5	468789632.1690
Meksiko	Amerika	2017	75.5	476946896.1378
Meksiko	Amerika	2018	75.5	468223219.3211
Meksiko	Amerika	2019	75.6	449312834.1232
Meksiko	Amerika	2020	73	357682412.9242
Meksiko	Amerika	2021	75.8	373757714.4108
Kanada	Amerika	2010	81.6	546271278.5890
Kanada	Amerika	2011	81.9	550246376.3947
Kanada	Amerika	2012	82	546482091.3074
Kanada	Amerika	2013	82.1	560726636.2848
Kanada	Amerika	2014	82.2	566428187.5928
Kanada	Amerika	2015	82.3	566185894.7402
Kanada	Amerika	2016	82.3	547695399.4969
Kanada	Amerika	2017	82.4	563726144.8172
Kanada	Amerika	2018	82.2	573499567.4549
Kanada	Amerika	2019	82.2	571303308.5538
Kanada	Amerika	2020	81.5	517316976.0181
Kanada	Amerika	2021	82.5	527367351.9914
Venezuela	Amerika	2010	75.3	167429535.2051
Venezuela	Amerika	2011	75.4	167304160.7639
Venezuela	Amerika	2012	75.2	177918173.9932
Venezuela	Amerika	2013	75.5	183392416.1508
Venezuela	Amerika	2014	75.6	173330012.4158
Venezuela	Amerika	2015	75.7	172201156.2462
Venezuela	Amerika	2016	75.6	149283134.9533
Venezuela	Amerika	2017	75.5	146322770.7248
Venezuela	Amerika	2018	75.4	121137296.2833
Venezuela	Amerika	2019	75	100092843.9165
Venezuela	Amerika	2020	75.1	82832743.1580
Venezuela	Amerika	2021	75.1	89175543.2668
Iran	Timur Tengah	2010	75.5	504845883.8985
Iran	Timur Tengah	2011	75.8	517037624.2951
Iran	Timur Tengah	2012	76	522664739.7094
Iran	Timur Tengah	2013	76.2	545195442.7756
Iran	Timur Tengah	2014	76.5	557178318.7906
Iran	Timur Tengah	2015	76.7	550966893.0673
