Negara,Region,Tahun,AHH,CO2
Austria,Eropa,2011,81,67.7
Austria,Eropa,2012,81.2,64.7
Austria,Eropa,2013,81.3,65.1
Austria,Eropa,2014,81.5,60.9
Austria,Eropa,2015,81.6,62.9
Austria,Eropa,2016,81.8,63.8
Austria,Eropa,2017,82,66.6
Austria,Eropa,2018,82.1,64.6
Austria,Eropa,2019,82.2,66.2
Austria,Eropa,2020,81.5,58.5
Austria,Eropa,2021,82.4,60.7
Austria,Eropa,2022,82.6,57.8
Belgia,Eropa,2011,80.4,123.4
Belgia,Eropa,2012,80.5,118.9
Belgia,Eropa,2013,80.7,120.0
Belgia,Eropa,2014,81,111.7
Belgia,Eropa,2015,81.1,117.7
Belgia,Eropa,2016,81.3,119.4
Belgia,Eropa,2017,81.4,121.2
Belgia,Eropa,2018,81.4,128.1
Belgia,Eropa,2019,81.4,124.6
Belgia,Eropa,2020,80.2,108.0
Belgia,Eropa,2021,81.7,116.3
Belgia,Eropa,2022,81.9,110.9
Rumania,Eropa,2011,74.6,95.2
Rumania,Eropa,2012,74.7,91.8
Rumania,Eropa,2013,75.3,79.3
Rumania,Eropa,2014,75,80.9
Rumania,Eropa,2015,75.3,82.0
Rumania,Eropa,2016,75.3,79.0
Rumania,Eropa,2017,75.4,82.8
Rumania,Eropa,2018,75.5,83.4
Rumania,Eropa,2019,75.5,81.8
Rumania,Eropa,2020,74.1,74.3
Rumania,Eropa,2021,75.8,78.8
Rumania,Eropa,2022,75.9,75.6
Makedonia Utara,Eropa,2011,73.7,9.8
Makedonia Utara,Eropa,2012,73.7,9.4
Makedonia Utara,Eropa,2013,74,8.3
Makedonia Utara,Eropa,2014,74,7.8
Makedonia Utara,Eropa,2015,74,7.5
Makedonia Utara,Eropa,2016,73.8,7.3
Makedonia Utara,Eropa,2017,74.1,7.8
Makedonia Utara,Eropa,2018,74.3,8.5
Makedonia Utara,Eropa,2019,74.4,8.4
Makedonia Utara,Eropa,2020,72.8,6.9
Makedonia Utara,Eropa,2021,74.6,6.9
Makedonia Utara,Eropa,2022,74.8,7.4
Jerman,Eropa,2011,80.7,782.0
Jerman,Eropa,2012,80.8,791.0
Jerman,Eropa,2013,80.8,815.0
Jerman,Eropa,2014,81,768.2
Jerman,Eropa,2015,80.9,772.5
Jerman,Eropa,2016,81,787.6
Jerman,Eropa,2017,81.1,779.0
Jerman,Eropa,2018,81.2,750.8
