Negara	Region	Tahun	AHH
Austria	Eropa	2011	81
Austria	Eropa	2012	81.2
Austria	Eropa	2013	81.3
Austria	Eropa	2014	81.5
Austria	Eropa	2015	81.6
Austria	Eropa	2016	81.8
Austria	Eropa	2017	82
Austria	Eropa	2018	82.1
Austria	Eropa	2019	82.2
Austria	Eropa	2020	81.5
Austria	Eropa	2021	82.4
Austria	Eropa	2022	82.6
Belgia	Eropa	2011	80.4
Belgia	Eropa	2012	80.5
Belgia	Eropa	2013	80.7
Belgia	Eropa	2014	81
Belgia	Eropa	2015	81.1
Belgia	Eropa	2016	81.3
Belgia	Eropa	2017	81.4
Belgia	Eropa	2018	81.4
Belgia	Eropa	2019	81.4
Belgia	Eropa	2020	80.2
Belgia	Eropa	2021	81.7
Belgia	Eropa	2022	81.9
Rumania	Eropa	2011	74.6
Rumania	Eropa	2012	74.7
Rumania	Eropa	2013	75.3
Rumania	Eropa	2014	75
Rumania	Eropa	2015	75.3
Rumania	Eropa	2016	75.3
Rumania	Eropa	2017	75.4
Rumania	Eropa	2018	75.5
Rumania	Eropa	2019	75.5
Rumania	Eropa	2020	74.1
Rumania	Eropa	2021	75.8
Rumania	Eropa	2022	75.9
Makedonia Utara	Eropa	2011	73.7
Makedonia Utara	Eropa	2012	73.7
Makedonia Utara	Eropa	2013	74
Makedonia Utara	Eropa	2014	74
Makedonia Utara	Eropa	2015	74
Makedonia Utara	Eropa	2016	73.8
Makedonia Utara	Eropa	2017	74.1
Makedonia Utara	Eropa	2018	74.3
Makedonia Utara	Eropa	2019	74.4
Makedonia Utara	Eropa	2020	72.8
Makedonia Utara	Eropa	2021	74.6
Makedonia Utara	Eropa	2022	74.8
Jerman	Eropa	2011	80.7
Jerman	Eropa	2012	80.8
Jerman	Eropa	2013	80.8
Jerman	Eropa	2014	81
Jerman	Eropa	2015	80.9
Jerman	Eropa	2016	81
Jerman	Eropa	2017	81.1
Jerman	Eropa	2018	81.2
Jerman	Eropa	2019	81.2
Jerman	Eropa	2020	81
Jerman	Eropa	2021	81.5
Jerman	Eropa	2022	81.7
Ukraina	Eropa	2011	71.5
Ukraina	Eropa	2012	71.6
Ukraina	Eropa	2013	71.8
Ukraina	Eropa	2014	71.7
Ukraina	Eropa	2015	72.5
Ukraina	Eropa	2016	72.9
Ukraina	Eropa	2017	73.8
Ukraina	Eropa	2018	73.9
Ukraina	Eropa	2019	73.8
Ukraina	Eropa	2020	73.2
Ukraina	Eropa	2021	74.1
Ukraina	Eropa	2022	74.2
Argentina	Amerika	2011	76
Argentina	Amerika	2012	76.2
Argentina	Amerika	2013	76.3
Argentina	Amerika	2014	76.5
Argentina	Amerika	2015	76.5
Argentina	Amerika	2016	76.2
Argentina	Amerika	2017	76.3
Argentina	Amerika	2018	76.5
Argentina	Amerika	2019	76.6
Argentina	Amerika	2020	74.6
Argentina	Amerika	2021	76.9
Argentina	Amerika	2022	77
Brazil	Amerika	2011	74
Brazil	Amerika	2012	74.3
Brazil	Amerika	2013	74.5
Brazil	Amerika	2014	74.8
Brazil	Amerika	2015	75
Brazil	Amerika	2016	75
Brazil	Amerika	2017	75.4
Brazil	Amerika	2018	75.7
Brazil	Amerika	2019	75.8
Brazil	Amerika	2020	73.6
Brazil	Amerika	2021	76.3
Brazil	Amerika	2022	76.4
Chile	Amerika	2011	79
Chile	Amerika	2012	79.2
Chile	Amerika	2013	79.3
Chile	Amerika	2014	79.5
Chile	Amerika	2015	79.6
Chile	Amerika	2016	80
Chile	Amerika	2017	80
Chile	Amerika	2018	80.1
Chile	Amerika	2019	80.2
Chile	Amerika	2020	79.1
Chile	Amerika	2021	80.5
Chile	Amerika	2022	80.6
Meksiko	Amerika	2011	75.5
Meksiko	Amerika	2012	75.7
Meksiko	Amerika	2013	75.5
Meksiko	Amerika	2014	75.6
Meksiko	Amerika	2015	75.7
Meksiko	Amerika	2016	75.5
Meksiko	Amerika	2017	75.5
Meksiko	Amerika	2018	75.5
Meksiko	Amerika	2019	75.6
Meksiko	Amerika	2020	73
Meksiko	Amerika	2021	75.8
Meksiko	Amerika	2022	75.9
Kanada	Amerika	2011	81.9
Kanada	Amerika	2012	82
Kanada	Amerika	2013	82.1
Kanada	Amerika	2014	82.2
Kanada	Amerika	2015	82.3
Kanada	Amerika	2016	82.3
Kanada	Amerika	2017	82.4
Kanada	Amerika	2018	82.2
Kanada	Amerika	2019	82.2
Kanada	Amerika	2020	81.5
Kanada	Amerika	2021	82.5
Kanada	Amerika	2022	82.6
Venezuela	Amerika	2011	75.4
Venezuela	Amerika	2012	75.2
Venezuela	Amerika	2013	75.5
Venezuela	Amerika	2014	75.6
Venezuela	Amerika	2015	75.7
Venezuela	Amerika	2016	75.6
Venezuela	Amerika	2017	75.5
Venezuela	Amerika	2018	75.4
Venezuela	Amerika	2019	75
Venezuela	Amerika	2020	75.1
Venezuela	Amerika	2021	75.1
Venezuela	Amerika	2022	75.3
Iran	Timur Tengah	2011	75.8
Iran	Timur Tengah	2012	76
Iran	Timur Tengah	2013	76.2
Iran	Timur Tengah	2014	76.5
Iran	Timur Tengah	2015	76.7
Iran	Timur Tengah	2016	77.1
Iran	Timur Tengah	2017	77.3
Iran	Timur Tengah	2018	77.6
Iran	Timur Tengah	2019	77.8
Iran	Timur Tengah	2020	76.2
Iran	Timur Tengah	2021	78.2
Iran	Timur Tengah	2022	78.3
Iraq	Timur Tengah	2011	71
Iraq	Timur Tengah	2012	71.3
Iraq	Timur Tengah	2013	70.9
Iraq	Timur Tengah	2014	69.9
Iraq	Timur Tengah	2015	70.7
Iraq	Timur Tengah	2016	70.9
Iraq	Timur Tengah	2017	71.5
Iraq	Timur Tengah	2018	73.3
Iraq	Timur Tengah	2019	73.3
Iraq	Timur Tengah	2020	72.1
Iraq	Timur Tengah	2021	73.6
Iraq	Timur Tengah	2022	73.7
Kuwait	Timur Tengah	2011	80.9
Kuwait	Timur Tengah	2012	81
Kuwait	Timur Tengah	2013	81.3
Kuwait	Timur Tengah	2014	81.6
Kuwait	Timur Tengah	2015	81.5
Kuwait	Timur Tengah	2016	81.6
Kuwait	Timur Tengah	2017	81.6
Kuwait	Timur Tengah	2018	81.6
Kuwait	Timur Tengah	2019	81.5
Kuwait	Timur Tengah	2020	81.2
Kuwait	Timur Tengah	2021	81.7
Kuwait	Timur Tengah	2022	81.8
Oman	Timur Tengah	2011	70.8
Oman	Timur Tengah	2012	71.5
Oman	Timur Tengah	2013	71.9
Oman	Timur Tengah	2014	72.3
Oman	Timur Tengah	2015	72.4
Oman	Timur Tengah	2016	72.6
Oman	Timur Tengah	2017	72.9
Oman	Timur Tengah	2018	73.6
Oman	Timur Tengah	2019	74
Oman	Timur Tengah	2020	72.7
Oman	Timur Tengah	2021	74.4
Oman	Timur Tengah	2022	74.6
Qatar	Timur Tengah	2011	73.9
Qatar	Timur Tengah	2012	74.3
Qatar	Timur Tengah	2013	74.7
Qatar	Timur Tengah	2014	74.9
Qatar	Timur Tengah	2015	75.5
Qatar	Timur Tengah	2016	75.7
Qatar	Timur Tengah	2017	75.9
Qatar	Timur Tengah	2018	76.1
Qatar	Timur Tengah	2019	76.3
Qatar	Timur Tengah	2020	76.2
Qatar	Timur Tengah	2021	76.5
Qatar	Timur Tengah	2022	76.7
Arab Saudi	Timur Tengah	2011	72.2
Arab Saudi	Timur Tengah	2012	72.6
Arab Saudi	Timur Tengah	2013	72.9
Arab Saudi	Timur Tengah	2014	73.2
Arab Saudi	Timur Tengah	2015	73.3
Arab Saudi	Timur Tengah	2016	73.7
Arab Saudi	Timur Tengah	2017	74
Arab Saudi	Timur Tengah	2018	74.3
Arab Saudi	Timur Tengah	2019	74.5
Arab Saudi	Timur Tengah	2020	74.3
Arab Saudi	Timur Tengah	2021	74.8
Arab Saudi	Timur Tengah	2022	75
Mesir	Afrika	2011	69.6
Mesir	Afrika	2012	69.7
Mesir	Afrika	2013	70.1
Mesir	Afrika	2014	70.3
Mesir	Afrika	2015	69.9
Mesir	Afrika	2016	70.2
Mesir	Afrika	2017	70.5
Mesir	Afrika	2018	70.7
Mesir	Afrika	2019	71
Mesir	Afrika	2020	71
Mesir	Afrika	2021	71.3
Mesir	Afrika	2022	71.4
Maroko	Afrika	2011	72.1
Maroko	Afrika	2012	72.3
Maroko	Afrika	2013	72.1
Maroko	Afrika	2014	72.3
Maroko	Afrika	2015	72.5
Maroko	Afrika	2016	72.8
Maroko	Afrika	2017	72.9
Maroko	Afrika	2018	73.1
Maroko	Afrika	2019	73.3
Maroko	Afrika	2020	73
Maroko	Afrika	2021	73.8
Maroko	Afrika	2022	74
Afrika Selatan	Afrika	2011	58.7
Afrika Selatan	Afrika	2012	60.1
Afrika Selatan	Afrika	2013	61.3
Afrika Selatan	Afrika	2014	61.8
Afrika Selatan	Afrika	2015	62.3
Afrika Selatan	Afrika	2016	62.7
Afrika Selatan	Afrika	2017	63.2
Afrika Selatan	Afrika	2018	64.4
Afrika Selatan	Afrika	2019	65.1
Afrika Selatan	Afrika	2020	64.3
Afrika Selatan	Afrika	2021	65.6
Afrika Selatan	Afrika	2022	65.9
Kenya	Afrika	2011	62
Kenya	Afrika	2012	62.6
Kenya	Afrika	2013	63.2
Kenya	Afrika	2014	63.8
Kenya	Afrika	2015	64.4
Kenya	Afrika	2016	65.1
Kenya	Afrika	2017	65.7
Kenya	Afrika	2018	66.1
Kenya	Afrika	2019	66.5
Kenya	Afrika	2020	66.4
Kenya	Afrika	2021	67
Kenya	Afrika	2022	67.3
Aljazair	Afrika	2011	74.7
Aljazair	Afrika	2012	74.9
Aljazair	Afrika	2013	75.1
Aljazair	Afrika	2014	75.3
Aljazair	Afrika	2015	75.4
Aljazair	Afrika	2016	75.7
Aljazair	Afrika	2017	75.9
Aljazair	Afrika	2018	76
Aljazair	Afrika	2019	76.2
Aljazair	Afrika	2020	76.2
Aljazair	Afrika	2021	76.6
Aljazair	Afrika	2022	76.7
Nigeria	Afrika	2011	60.2
Nigeria	Afrika	2012	60.7
Nigeria	Afrika	2013	61.2
Nigeria	Afrika	2014	61.6
Nigeria	Afrika	2015	62.1
Nigeria	Afrika	2016	62.7
Nigeria	Afrika	2017	63.3
Nigeria	Afrika	2018	63.8
Nigeria	Afrika	2019	64.3
Nigeria	Afrika	2020	64.5
Nigeria	Afrika	2021	65.1
Nigeria	Afrika	2022	65.5
Australia	Asia Pasifik	2011	82.3
Australia	Asia Pasifik	2012	82.6
Australia	Asia Pasifik	2013	82.7
Australia	Asia Pasifik	2014	82.7
Australia	Asia Pasifik	2015	82.7
Australia	Asia Pasifik	2016	83
Australia	Asia Pasifik	2017	83
Australia	Asia Pasifik	2018	82.9
Australia	Asia Pasifik	2019	82.9
Australia	Asia Pasifik	2020	82.9
Australia	Asia Pasifik	2021	83.2
Australia	Asia Pasifik	2022	83.3
Indonesia	Asia Pasifik	2011	69.6
Indonesia	Asia Pasifik	2012	69.8
Indonesia	Asia Pasifik	2013	70
Indonesia	Asia Pasifik	2014	70.2
Indonesia	Asia Pasifik	2015	70.4
Indonesia	Asia Pasifik	2016	70.7
Indonesia	Asia Pasifik	2017	70.9
Indonesia	Asia Pasifik	2018	71.1
Indonesia	Asia Pasifik	2019	71.4
Indonesia	Asia Pasifik	2020	71.4
Indonesia	Asia Pasifik	2021	71.8
Indonesia	Asia Pasifik	2022	71.9
Korea Selatan	Asia Pasifik	2011	81.2
Korea Selatan	Asia Pasifik	2012	81.5
Korea Selatan	Asia Pasifik	2013	81.9
Korea Selatan	Asia Pasifik	2014	82.3
Korea Selatan	Asia Pasifik	2015	82.6
Korea Selatan	Asia Pasifik	2016	82.8
Korea Selatan	Asia Pasifik	2017	82.9
Korea Selatan	Asia Pasifik	2018	82.9
Korea Selatan	Asia Pasifik	2019	82.9
Korea Selatan	Asia Pasifik	2020	82.8
Korea Selatan	Asia Pasifik	2021	83.2
Korea Selatan	Asia Pasifik	2022	83.3
Malaysia	Asia Pasifik	2011	74.6
Malaysia	Asia Pasifik	2012	74.8
Malaysia	Asia Pasifik	2013	75.3
Malaysia	Asia Pasifik	2014	75.1
Malaysia	Asia Pasifik	2015	75
Malaysia	Asia Pasifik	2016	75
Malaysia	Asia Pasifik	2017	75.1
Malaysia	Asia Pasifik	2018	75.2
Malaysia	Asia Pasifik	2019	75
Malaysia	Asia Pasifik	2020	75.1
Malaysia	Asia Pasifik	2021	75.3
Malaysia	Asia Pasifik	2022	75.5
Selandia Baru	Asia Pasifik	2011	80.9
Selandia Baru	Asia Pasifik	2012	81.2
Selandia Baru	Asia Pasifik	2013	81.5
Selandia Baru	Asia Pasifik	2014	81.5
Selandia Baru	Asia Pasifik	2015	81.7
Selandia Baru	Asia Pasifik	2016	81.9
Selandia Baru	Asia Pasifik	2017	82
Selandia Baru	Asia Pasifik	2018	81.8
Selandia Baru	Asia Pasifik	2019	81.8
Selandia Baru	Asia Pasifik	2020	81.8
Selandia Baru	Asia Pasifik	2021	82.1
Selandia Baru	Asia Pasifik	2022	82.2
Pakistan	Asia Pasifik	2011	63.6
Pakistan	Asia Pasifik	2012	63.8
Pakistan	Asia Pasifik	2013	64
Pakistan	Asia Pasifik	2014	64.2
Pakistan	Asia Pasifik	2015	64.4
Pakistan	Asia Pasifik	2016	64.7
Pakistan	Asia Pasifik	2017	64.9
Pakistan	Asia Pasifik	2018	65.5
Pakistan	Asia Pasifik	2019	65.9
Pakistan	Asia Pasifik	2020	65.9
Pakistan	Asia Pasifik	2021	66.2
Pakistan	Asia Pasifik	2022	66.3
Azerbaijan	CIS	2011	69.2
Azerbaijan	CIS	2012	69.5
Azerbaijan	CIS	2013	69.7
Azerbaijan	CIS	2014	69.9
Azerbaijan	CIS	2015	70.2
Azerbaijan	CIS	2016	70.3
Azerbaijan	CIS	2017	70.4
Azerbaijan	CIS	2018	70.8
Azerbaijan	CIS	2019	71
Azerbaijan	CIS	2020	70.4
Azerbaijan	CIS	2021	71.2
Azerbaijan	CIS	2022	71.3
Belarus	CIS	2011	70.5
Belarus	CIS	2012	72.3
Belarus	CIS	2013	72.8
Belarus	CIS	2014	73.1
Belarus	CIS	2015	73.7
Belarus	CIS	2016	73.8
Belarus	CIS	2017	73.8
Belarus	CIS	2018	74
Belarus	CIS	2019	74
Belarus	CIS	2020	73.5
Belarus	CIS	2021	74.3
Belarus	CIS	2022	74.4
Kazakhstan	CIS	2011	68.1
Kazakhstan	CIS	2012	68.6
Kazakhstan	CIS	2013	69.4
Kazakhstan	CIS	2014	70.1
Kazakhstan	CIS	2015	70.6
Kazakhstan	CIS	2016	71.1
Kazakhstan	CIS	2017	71.5
Kazakhstan	CIS	2018	71.7
Kazakhstan	CIS	2019	71.9
Kazakhstan	CIS	2020	71.2
Kazakhstan	CIS	2021	72.3
Kazakhstan	CIS	2022	72.3
Rusia	CIS	2011	70
Rusia	CIS	2012	70.5
Rusia	CIS	2013	70.9
Rusia	CIS	2014	71
Rusia	CIS	2015	71.5
Rusia	CIS	2016	72
Rusia	CIS	2017	72.9
Rusia	CIS	2018	73
Rusia	CIS	2019	73
Rusia	CIS	2020	71.2
Rusia	CIS	2021	73.3
Rusia	CIS	2022	73.4
Turkmenistan	CIS	2011	69.6
Turkmenistan	CIS	2012	69.8
Turkmenistan	CIS	2013	69.8
Turkmenistan	CIS	2014	69.9
Turkmenistan	CIS	2015	70
Turkmenistan	CIS	2016	70.3
Turkmenistan	CIS	2017	70.5
Turkmenistan	CIS	2018	70.6
Turkmenistan	CIS	2019	70.8
Turkmenistan	CIS	2020	70.9
Turkmenistan	CIS	2021	71.1
Turkmenistan	CIS	2022	71.2
Uzbekistan	CIS	2011	66.6
Uzbekistan	CIS	2012	66.7
Uzbekistan	CIS	2013	67
Uzbekistan	CIS	2014	67.2
Uzbekistan	CIS	2015	67.3
Uzbekistan	CIS	2016	67.6
Uzbekistan	CIS	2017	67.8
Uzbekistan	CIS	2018	68.1
Uzbekistan	CIS	2019	68.4
Uzbekistan	CIS	2020	68.4
Uzbekistan	CIS	2021	68.7
Uzbekistan	CIS	2022	68.7
