Negara,Region,Tahun,CO2
Austria,Eropa,2011,67.7
Austria,Eropa,2012,64.7
Austria,Eropa,2013,65.1
Austria,Eropa,2014,60.9
Austria,Eropa,2015,62.9
Austria,Eropa,2016,63.8
Austria,Eropa,2017,66.6
Austria,Eropa,2018,64.6
Austria,Eropa,2019,66.2
Austria,Eropa,2020,58.5
Austria,Eropa,2021,60.7
Austria,Eropa,2022,57.8
Belgia,Eropa,2011,123.4
Belgia,Eropa,2012,118.9
Belgia,Eropa,2013,120.0
Belgia,Eropa,2014,111.7
Belgia,Eropa,2015,117.7
Belgia,Eropa,2016,119.4
Belgia,Eropa,2017,121.2
Belgia,Eropa,2018,128.1
Belgia,Eropa,2019,124.6
Belgia,Eropa,2020,108.0
Belgia,Eropa,2021,116.3
Belgia,Eropa,2022,110.9
Rumania,Eropa,2011,95.2
Rumania,Eropa,2012,91.8
Rumania,Eropa,2013,79.3
Rumania,Eropa,2014,80.9
Rumania,Eropa,2015,82.0
Rumania,Eropa,2016,79.0
Rumania,Eropa,2017,82.8
Rumania,Eropa,2018,83.4
Rumania,Eropa,2019,81.8
Rumania,Eropa,2020,74.3
Rumania,Eropa,2021,78.8
Rumania,Eropa,2022,75.6
Makedonia Utara,Eropa,2011,9.8
Makedonia Utara,Eropa,2012,9.4
Makedonia Utara,Eropa,2013,8.3
Makedonia Utara,Eropa,2014,7.8
Makedonia Utara,Eropa,2015,7.5
Makedonia Utara,Eropa,2016,7.3
Makedonia Utara,Eropa,2017,7.8
Makedonia Utara,Eropa,2018,8.5
Makedonia Utara,Eropa,2019,8.4
Makedonia Utara,Eropa,2020,6.9
Makedonia Utara,Eropa,2021,6.9
Makedonia Utara,Eropa,2022,7.4
Jerman,Eropa,2011,782.0
Jerman,Eropa,2012,791.0
Jerman,Eropa,2013,815.0
Jerman,Eropa,2014,768.2
Jerman,Eropa,2015,772.5
Jerman,Eropa,2016,787.6
Jerman,Eropa,2017,779.0
Jerman,Eropa,2018,750.8
Jerman,Eropa,2019,697.8
Jerman,Eropa,2020,623.2
Jerman,Eropa,2021,660.9
Jerman,Eropa,2022,652.4
Ukraina,Eropa,2011,315.1
Ukraina,Eropa,2012,310.0
Ukraina,Eropa,2013,297.9
Ukraina,Eropa,2014,257.4
Ukraina,Eropa,2015,204.9
Ukraina,Eropa,2016,225.7
Ukraina,Eropa,2017,197.5
Ukraina,Eropa,2018,208.8
Ukraina,Eropa,2019,195.6
Ukraina,Eropa,2020,181.4
Ukraina,Eropa,2021,177.7
Ukraina,Eropa,2022,117.8
Argentina,Amerika,2011,203.6
Argentina,Amerika,2012,212.7
Argentina,Amerika,2013,218.4
Argentina,Amerika,2014,218.6
Argentina,Amerika,2015,222.1
Argentina,Amerika,2016,220.2
Argentina,Amerika,2017,218.4
Argentina,Amerika,2018,217.6
Argentina,Amerika,2019,208.4
Argentina,Amerika,2020,193.3
Argentina,Amerika,2021,219.5
Argentina,Amerika,2022,226.9
Brazil,Amerika,2011,481.1
Brazil,Amerika,2012,513.3
Brazil,Amerika,2013,544.7
Brazil,Amerika,2014,573.0
Brazil,Amerika,2015,555.4
Brazil,Amerika,2016,514.3
Brazil,Amerika,2017,518.5
Brazil,Amerika,2018,498.0
Brazil,Amerika,2019,494.3
Brazil,Amerika,2020,469.2
Brazil,Amerika,2021,524.0
Brazil,Amerika,2022,506.0
Chile,Amerika,2011,84.3
Chile,Amerika,2012,87.1
Chile,Amerika,2013,90.4
Chile,Amerika,2014,88.7
Chile,Amerika,2015,88.9
Chile,Amerika,2016,93.8
Chile,Amerika,2017,95.2
Chile,Amerika,2018,94.8
Chile,Amerika,2019,96.2
Chile,Amerika,2020,86.5
Chile,Amerika,2021,95.0
Chile,Amerika,2022,91.0
Meksiko,Amerika,2011,559.3
Meksiko,Amerika,2012,566.9
Meksiko,Amerika,2013,570.3
Meksiko,Amerika,2014,557.6
Meksiko,Amerika,2015,553.9
Meksiko,Amerika,2016,563.6
Meksiko,Amerika,2017,569.4
Meksiko,Amerika,2018,554.5
Meksiko,Amerika,2019,544.3
Meksiko,Amerika,2020,487.1
Meksiko,Amerika,2021,524.0
Meksiko,Amerika,2022,577.5
Kanada,Amerika,2011,602.8
Kanada,Amerika,2012,600.4
Kanada,Amerika,2013,615.8
Kanada,Amerika,2014,625.0
Kanada,Amerika,2015,625.3
Kanada,Amerika,2016,607.9
Kanada,Amerika,2017,628.0
Kanada,Amerika,2018,641.2
Kanada,Amerika,2019,628.4
Kanada,Amerika,2020,565.8
Kanada,Amerika,2021,578.9
Kanada,Amerika,2022,591.4
Venezuela,Amerika,2011,332.1
Venezuela,Amerika,2012,356.5
Venezuela,Amerika,2013,361.7
Venezuela,Amerika,2014,350.9
Venezuela,Amerika,2015,342.8
Venezuela,Amerika,2016,310.4
Venezuela,Amerika,2017,284.2
Venezuela,Amerika,2018,241.5
Venezuela,Amerika,2019,203.4
Venezuela,Amerika,2020,149.8
Venezuela,Amerika,2021,168.0
Venezuela,Amerika,2022,185.4
Iran,Timur Tengah,2011,723.0
Iran,Timur Tengah,2012,722.2
Iran,Timur Tengah,2013,729.2
Iran,Timur Tengah,2014,750.9
Iran,Timur Tengah,2015,746.1
Iran,Timur Tengah,2016,800.2
Iran,Timur Tengah,2017,823.5
Iran,Timur Tengah,2018,848.2
Iran,Timur Tengah,2019,841.0
Iran,Timur Tengah,2020,864.5
Iran,Timur Tengah,2021,888.4
Iran,Timur Tengah,2022,904.8
Iraq,Timur Tengah,2011,184.6
Iraq,Timur Tengah,2012,207.6
Iraq,Timur Tengah,2013,226.4
Iraq,Timur Tengah,2014,232.8
Iraq,Timur Tengah,2015,251.9
Iraq,Timur Tengah,2016,282.9
Iraq,Timur Tengah,2017,302.1
Iraq,Timur Tengah,2018,307.7
Iraq,Timur Tengah,2019,315.3
Iraq,Timur Tengah,2020,281.2
Iraq,Timur Tengah,2021,291.1
Iraq,Timur Tengah,2022,314.5
Kuwait,Timur Tengah,2011,110.2
Kuwait,Timur Tengah,2012,113.3
Kuwait,Timur Tengah,2013,119.6
Kuwait,Timur Tengah,2014,121.1
Kuwait,Timur Tengah,2015,123.3
Kuwait,Timur Tengah,2016,123.9
Kuwait,Timur Tengah,2017,123.1
Kuwait,Timur Tengah,2018,126.2
Kuwait,Timur Tengah,2019,116.2
Kuwait,Timur Tengah,2020,108.4
Kuwait,Timur Tengah,2021,113.1
Kuwait,Timur Tengah,2022,120.5
Oman,Timur Tengah,2011,69.2
