Negara,Status,Tahun,AHH
Austria,Maju,2010,80.8
Austria,Maju,2011,81
Austria,Maju,2012,81.2
Austria,Maju,2013,81.3
Austria,Maju,2014,81.5
Austria,Maju,2015,81.6
Austria,Maju,2016,81.8
Austria,Maju,2017,82
Austria,Maju,2018,82.1
Austria,Maju,2019,82.2
Austria,Maju,2020,81.5
Austria,Maju,2021,82.4
Belgia,Maju,2010,80.2
Belgia,Maju,2011,80.4
Belgia,Maju,2012,80.5
Belgia,Maju,2013,80.7
Belgia,Maju,2014,81
Belgia,Maju,2015,81.1
Belgia,Maju,2016,81.3
Belgia,Maju,2017,81.4
Belgia,Maju,2018,81.4
Belgia,Maju,2019,81.4
Belgia,Maju,2020,80.2
Belgia,Maju,2021,81.7
Rumania,Berkembang,2010,73.8
Rumania,Berkembang,2011,74.6
Rumania,Berkembang,2012,74.7
Rumania,Berkembang,2013,75.3
Rumania,Berkembang,2014,75
Rumania,Berkembang,2015,75.3
Rumania,Berkembang,2016,75.3
Rumania,Berkembang,2017,75.4
Rumania,Berkembang,2018,75.5
Rumania,Berkembang,2019,75.5
Rumania,Berkembang,2020,74.1
Rumania,Berkembang,2021,75.8
Makedonia,Berkembang,2010,73.4
Makedonia,Berkembang,2011,73.7
Makedonia,Berkembang,2012,73.7
Makedonia,Berkembang,2013,74
Makedonia,Berkembang,2014,74
Makedonia,Berkembang,2015,74
Makedonia,Berkembang,2016,73.8
Makedonia,Berkembang,2017,74.1
Makedonia,Berkembang,2018,74.3
Makedonia,Berkembang,2019,74.4
Makedonia,Berkembang,2020,72.8
Makedonia,Berkembang,2021,74.6
Jerman,Maju,2010,80.5
Jerman,Maju,2011,80.7
Jerman,Maju,2012,80.8
Jerman,Maju,2013,80.8
Jerman,Maju,2014,81
Jerman,Maju,2015,80.9
Jerman,Maju,2016,81
Jerman,Maju,2017,81.1
Jerman,Maju,2018,81.2
Jerman,Maju,2019,81.2
Jerman,Maju,2020,81
Jerman,Maju,2021,81.5
Ukraina,Berkembang,2010,70.8
Ukraina,Berkembang,2011,71.5
Ukraina,Berkembang,2012,71.6
Ukraina,Berkembang,2013,71.8
Ukraina,Berkembang,2014,71.7
Ukraina,Berkembang,2015,72.5
Ukraina,Berkembang,2016,72.9
Ukraina,Berkembang,2017,73.8
Ukraina,Berkembang,2018,73.9
Ukraina,Berkembang,2019,73.8
