Negara,Region,Tahun,CO2
Austria,Eropa,2010,67.8
Austria,Eropa,2011,64.7
Austria,Eropa,2012,62.2
Austria,Eropa,2013,62.9
Austria,Eropa,2014,58.6
Austria,Eropa,2015,60.7
Austria,Eropa,2016,61.6
Austria,Eropa,2017,64.4
Austria,Eropa,2018,62.1
Austria,Eropa,2019,63.6
Austria,Eropa,2020,56
Austria,Eropa,2021,58.4
Belgia,Eropa,2010,133.5
Belgia,Eropa,2011,120.6
Belgia,Eropa,2012,116.3
Belgia,Eropa,2013,117.3
Belgia,Eropa,2014,109
Belgia,Eropa,2015,115.2
Belgia,Eropa,2016,116.9
Belgia,Eropa,2017,118.8
Belgia,Eropa,2018,125.4
Belgia,Eropa,2019,121.7
Belgia,Eropa,2020,105.5
Belgia,Eropa,2021,114.7
Rumania,Eropa,2010,78.2
Rumania,Eropa,2011,85.1
Rumania,Eropa,2012,81.7
Rumania,Eropa,2013,69.8
Rumania,Eropa,2014,71.1
Rumania,Eropa,2015,71.9
Rumania,Eropa,2016,69.5
Rumania,Eropa,2017,72.9
Rumania,Eropa,2018,73.4
Rumania,Eropa,2019,71.7
Rumania,Eropa,2020,64.6
Rumania,Eropa,2021,70.3
Makedonia,Eropa,2010,8.5
Makedonia,Eropa,2011,9.3
Makedonia,Eropa,2012,8.9
Makedonia,Eropa,2013,7.9
Makedonia,Eropa,2014,7.5
Makedonia,Eropa,2015,7.2
Makedonia,Eropa,2016,7.1
Makedonia,Eropa,2017,7.5
Makedonia,Eropa,2018,7.1
Makedonia,Eropa,2019,8.1
Makedonia,Eropa,2020,6.6
Makedonia,Eropa,2021,6.9
Jerman,Eropa,2010,783.2
Jerman,Eropa,2011,763.7
Jerman,Eropa,2012,773
Jerman,Eropa,2013,797.6
Jerman,Eropa,2014,751.1
Jerman,Eropa,2015,755.6
Jerman,Eropa,2016,770.5
Jerman,Eropa,2017,760.9
Jerman,Eropa,2018,733.1
Jerman,Eropa,2019,680.1
Jerman,Eropa,2020,600.8
Jerman,Eropa,2021,628.9
Ukraina,Eropa,2010,288.7
Ukraina,Eropa,2011,303.2
Ukraina,Eropa,2012,299.1
