Negara,Status,Tahun,TB
Indonesia,Berkembang,2010,5.61
Indonesia,Berkembang,2011,5.15
Indonesia,Berkembang,2012,4.47
Indonesia,Berkembang,2013,4.34
Indonesia,Berkembang,2014,4.05
Indonesia,Berkembang,2015,4.51
Indonesia,Berkembang,2016,4.3
Indonesia,Berkembang,2017,3.88
Indonesia,Berkembang,2018,4.4
Indonesia,Berkembang,2019,3.62
Indonesia,Berkembang,2020,4.28
Indonesia,Berkembang,2021,4.41
China,Berkembang,2010,4.53
China,Berkembang,2011,4.55
China,Berkembang,2012,4.57
China,Berkembang,2013,4.59
China,Berkembang,2014,4.61
China,Berkembang,2015,4.63
China,Berkembang,2016,4.53
China,Berkembang,2017,4.44
China,Berkembang,2018,4.28
China,Berkembang,2019,4.52
China,Berkembang,2020,5
China,Berkembang,2021,4.82
Japan,Maju,2010,5.1
Japan,Maju,2011,4.55
Japan,Maju,2012,4.36
Japan,Maju,2013,4
Japan,Maju,2014,3.6
Japan,Maju,2015,3.4
Japan,Maju,2016,3.1
Japan,Maju,2017,2.8
Japan,Maju,2018,2.4
Japan,Maju,2019,2.4
Japan,Maju,2020,2.8
Japan,Maju,2021,2.8
Malaysia,Berkembang,2010,3.39
Malaysia,Berkembang,2011,3.05
Malaysia,Berkembang,2012,3.1
Malaysia,Berkembang,2013,3.16
Malaysia,Berkembang,2014,2.88
Malaysia,Berkembang,2015,3.1
Malaysia,Berkembang,2016,3.44
Malaysia,Berkembang,2017,3.41
Malaysia,Berkembang,2018,3.3
Malaysia,Berkembang,2019,3.26
Malaysia,Berkembang,2020,4.5
Malaysia,Berkembang,2021,4.61
Hong Kong SAR,Maju,2010,4.33
Hong Kong SAR,Maju,2011,3.42
Hong Kong SAR,Maju,2012,3.29
Hong Kong SAR,Maju,2013,3.4
Hong Kong SAR,Maju,2014,3.3
Hong Kong SAR,Maju,2015,3.31
Hong Kong SAR,Maju,2016,3.39
Hong Kong SAR,Maju,2017,3.13
Hong Kong SAR,Maju,2018,2.82
Hong Kong SAR,Maju,2019,2.93
Hong Kong SAR,Maju,2020,5.83
Hong Kong SAR,Maju,2021,5.32
Egypt,Berkembang,2010,8.76
Egypt,Berkembang,2011,11.85
Egypt,Berkembang,2012,12.6
Egypt,Berkembang,2013,13.15
Egypt,Berkembang,2014,13.1
Egypt,Berkembang,2015,13.05
Egypt,Berkembang,2016,12.41
Egypt,Berkembang,2017,11.74
Egypt,Berkembang,2018,9.82
Egypt,Berkembang,2019,7.84
